8076.999	4.17E-09									
8076.499	4.17E-09									
8075.999	4.17E-09									
8075.499	4.17E-09									
8074.999	4.17E-09									
8074.499	4.16E-09									
8073.999	4.16E-09									
8073.499	4.16E-09									
8072.999	4.16E-09									
8072.499	4.16E-09									
8071.999	4.16E-09									
8071.499	4.15E-09									
8070.999	4.15E-09									
8070.499	4.15E-09									
8069.999	4.15E-09									
8069.499	4.15E-09									
8068.999	4.14E-09									
8068.499	4.14E-09									
8067.999	4.14E-09									
8067.499	4.14E-09									
8066.999	4.14E-09									
8066.499	4.14E-09									
8065.999	4.13E-09									
8065.499	4.13E-09									
8064.999	4.13E-09									
8064.499	4.13E-09									
8063.999	4.12E-09									
8063.499	4.12E-09									
8062.999	4.12E-09									
8062.499	4.11E-09									
8061.999	4.11E-09									
8061.499	4.11E-09									
8060.999	4.11E-09									
8060.499	4.10E-09									
8059.999	4.10E-09									
8059.499	4.10E-09									
8058.999	4.10E-09									
8058.499	4.10E-09									
8057.999	4.09E-09									
8057.499	4.09E-09									
8056.999	4.09E-09									
8056.499	4.09E-09									
8055.999	4.08E-09									
8055.499	4.08E-09									
8054.999	4.08E-09									
8054.499	4.07E-09									
8053.999	4.07E-09									
8053.499	4.07E-09									
8052.999	4.06E-09									
8052.499	4.06E-09									
8051.999	4.06E-09									
8051.499	4.05E-09									
8050.999	4.05E-09									
8050.499	4.04E-09									
8049.999	4.04E-09									
8049.499	4.04E-09									
8048.999	4.03E-09									
8048.499	4.03E-09									
8047.999	4.02E-09									
8047.499	4.02E-09									
8046.999	4.02E-09									
8046.499	4.02E-09									
8045.999	4.01E-09									
8045.499	4.01E-09									
8044.999	4.00E-09									
8044.499	4.00E-09									
8043.999	3.99E-09									
8043.499	3.99E-09									
8042.999	3.98E-09									
8042.499	3.98E-09									
8041.999	3.97E-09									
8041.499	3.97E-09									
8040.999	3.96E-09									
8040.499	3.96E-09									
8039.999	3.95E-09									
8039.499	3.95E-09									
8038.999	3.94E-09									
8038.499	3.93E-09									
8037.999	3.93E-09									
8037.499	3.92E-09									
8036.999	3.92E-09									
8036.499	3.91E-09									
8035.999	3.91E-09									
8035.499	3.90E-09									
8034.999	3.90E-09									
8034.499	3.89E-09									
8033.999	3.88E-09									
8033.499	3.88E-09									
8032.999	3.87E-09									
8032.499	3.86E-09									
8031.999	3.85E-09									
8031.499	3.85E-09									
8030.999	3.84E-09									
8030.499	3.83E-09									
8029.999	3.82E-09									
8029.499	3.82E-09									
8028.999	3.81E-09									
8028.499	3.80E-09									
8027.999	3.79E-09									
8027.499	3.78E-09									
8026.999	3.78E-09									
8026.499	3.77E-09									
8025.999	3.76E-09									
8025.499	3.75E-09									
8024.999	3.74E-09									
8024.499	3.73E-09									
8023.999	3.72E-09									
8023.499	3.71E-09									
8022.999	3.70E-09									
8022.499	3.68E-09									
8021.999	3.67E-09									
8021.499	3.66E-09									
8020.999	3.65E-09									
8020.499	3.63E-09									
8019.999	3.62E-09									
8019.499	3.61E-09									
8018.999	3.60E-09									
8018.499	3.58E-09									
8017.999	3.57E-09									
8017.499	3.55E-09									
8016.999	3.54E-09									
8016.499	3.53E-09									
8015.999	3.51E-09									
8015.499	3.49E-09									
8014.999	3.48E-09									
8014.499	3.46E-09									
8013.999	3.44E-09									
8013.499	3.42E-09									
8012.999	3.41E-09									
8012.499	3.39E-09									
8011.999	3.37E-09									
8011.499	3.34E-09									
8010.999	3.32E-09									
8010.499	3.30E-09									
8009.999	3.28E-09									
8009.499	3.26E-09									
8008.999	3.24E-09									
8008.499	3.21E-09									
8007.999	3.19E-09									
8007.499	3.16E-09									
8006.999	3.14E-09									
8006.499	3.11E-09									
8005.999	3.08E-09									
8005.499	3.05E-09									
8004.999	3.02E-09									
8004.499	2.98E-09									
8003.999	2.95E-09									
8003.499	2.92E-09									
8002.999	2.88E-09									
8002.499	2.84E-09									
8001.999	2.81E-09									
8001.499	2.77E-09									
8000.999	2.73E-09									
8000.499	2.69E-09									
7999.999	2.65E-09									
7999.499	2.61E-09									
7998.999	2.56E-09									
7998.499	2.52E-09									
7997.999	2.47E-09									
7997.499	2.42E-09									
7996.999	2.37E-09									
7996.499	2.32E-09									
7995.999	2.26E-09									
7995.499	2.20E-09									
7994.999	2.14E-09									
7994.499	2.08E-09									
7993.999	2.02E-09									
7993.499	1.95E-09									
7992.999	1.73E-09									
7992.499	1.79E-09									
7991.999	1.72E-09									
